participant_id,game,latency_ms,quality_rating,acceptable
19,rocket_league,75,5.0,1
19,rocket_league,0,5.0,1
19,half_life_2,150,2.5,0
19,half_life_2,225,1.0,0
19,half_life_2,0,5.0,1
19,half_life_2,75,4.5,1
19,fitts_law,75,2.5,0
19,fitts_law,225,1.0,0
19,fitts_law,0,5.0,1
19,fitts_law,150,2.0,0
19,feeding_frenzy,75,5.0,1
19,feeding_frenzy,225,3.5,1
19,feeding_frenzy,0,5.0,1
19,feeding_frenzy,150,5.0,1
2,rocket_league,150,4.4,1
2,rocket_league,75,5.0,1
2,rocket_league,225,3.5,1
2,rocket_league,0,5.0,1
2,half_life_2,75,4.0,1
2,half_life_2,150,2.4,0
2,half_life_2,0,5.0,1
2,half_life_2,225,1.1,0
2,fitts_law,75,1.0,0
2,fitts_law,0,4.8,1
2,fitts_law,150,1.0,0
2,fitts_law,225,1.0,0
2,feeding_frenzy,75,4.9,1
2,feeding_frenzy,225,2.9,0
2,feeding_frenzy,0,4.8,1
2,feeding_frenzy,150,4.0,1
20,dave_the_diver,225,3.0,1
20,dave_the_diver,75,4.0,1
20,dave_the_diver,150,4.0,1
20,dave_the_diver,0,5.0,1
20,rocket_league,150,5.0,1
20,rocket_league,75,5.0,1
20,rocket_league,0,5.0,1
20,rocket_league,225,4.0,1
20,half_life_2,75,4.0,1
20,half_life_2,150,3.0,1
20,half_life_2,0,4.0,1
20,half_life_2,225,2.0,0
20,fitts_law,0,5.0,1
20,fitts_law,75,3.0,1
20,fitts_law,225,2.0,0
20,fitts_law,150,2.0,0
20,feeding_frenzy,225,3.0,0
20,feeding_frenzy,150,4.0,1
20,feeding_frenzy,75,3.0,1
20,feeding_frenzy,0,4.0,1
21,rocket_league,75,4.0,1
21,rocket_league,225,3.0,0
21,rocket_league,0,4.0,1
21,rocket_league,150,4.0,1
21,half_life_2,75,4.0,1
21,half_life_2,0,5.0,1
21,half_life_2,225,2.0,0
21,half_life_2,150,4.0,1
21,fitts_law,0,5.0,1
21,fitts_law,225,3.0,1
21,fitts_law,150,4.0,1
21,fitts_law,75,5.0,1
