participant_id,session_timestamp,game,round_timestamp,latency_ms,has_qoe,has_kb,has_mouse,has_score_png,has_dump,has_score_txt,has_results,has_replay,has_replay_json,round_path,missing_qoe,missing_kb,missing_mouse,ff_missing_score_png,ff_missing_score_txt,hl2_missing_dump,hl2_missing_score_txt,fitts_missing_results,rl_missing_replay,rl_missing_replay_json,score_txt_without_png,replay_json_without_replay,hl2_score_without_dump
10,2026-01-28_15-17-32,feeding_frenzy,2026-01-28_15-20-57,0,True,True,True,True,,True,,,,../experiment/10/2026-01-28_15-17-32/feeding_frenzy/2026-01-28_15-20-57_0ms,False,False,False,False,False,False,False,False,False,False,False,False,False
10,2026-01-28_15-17-32,feeding_frenzy,2026-01-28_15-18-28,75,True,True,True,True,,True,,,,../experiment/10/2026-01-28_15-17-32/feeding_frenzy/2026-01-28_15-18-28_75ms,False,False,False,False,False,False,False,False,False,False,False,False,False
10,2026-01-28_15-17-32,feeding_frenzy,2026-01-28_15-20-06,225,True,True,True,True,,True,,,,../experiment/10/2026-01-28_15-17-32/feeding_frenzy/2026-01-28_15-20-06_225ms,False,False,False,False,False,False,False,False,False,False,False,False,False
10,2026-01-28_15-17-32,feeding_frenzy,2026-01-28_15-19-17,150,True,True,True,True,,True,,,,../experiment/10/2026-01-28_15-17-32/feeding_frenzy/2026-01-28_15-19-17_150ms,False,False,False,False,False,False,False,False,False,False,False,False,False
11,2026-01-28_17-03-17,dave_the_diver,2026-01-28_16-48-31,0,True,True,True,True,,True,,,,../experiment/11/2026-01-28_17-03-17/dave_the_diver/2026-01-28_16-48-31_0ms,False,False,False,False,False,False,False,False,False,False,False,False,False
11,2026-01-28_17-03-17,dave_the_diver,2026-01-28_16-46-56,225,True,True,True,True,,True,,,,../experiment/11/2026-01-28_17-03-17/dave_the_diver/2026-01-28_16-46-56_225ms,False,False,False,False,False,False,False,False,False,False,False,False,False
11,2026-01-28_17-03-17,dave_the_diver,2026-01-28_16-45-27,150,True,True,True,True,,True,,,,../experiment/11/2026-01-28_17-03-17/dave_the_diver/2026-01-28_16-45-27_150ms,False,False,False,False,False,False,False,False,False,False,False,False,False
11,2026-01-28_17-03-17,dave_the_diver,2026-01-28_16-50-00,75,True,True,True,True,,True,,,,../experiment/11/2026-01-28_17-03-17/dave_the_diver/2026-01-28_16-50-00_75ms,False,False,False,False,False,False,False,False,False,False,False,False,False
11,2026-01-28_17-03-17,rocket_league,2026-01-28_16-39-31,0,True,True,True,,,,,True,True,../experiment/11/2026-01-28_17-03-17/rocket_league/2026-01-28_16-39-31_0ms,False,False,False,False,False,False,False,False,False,False,False,False,False
11,2026-01-28_17-03-17,rocket_league,2026-01-28_16-41-27,75,True,True,True,,,,,True,True,../experiment/11/2026-01-28_17-03-17/rocket_league/2026-01-28_16-41-27_75ms,False,False,False,False,False,False,False,False,False,False,False,False,False
11,2026-01-28_17-03-17,rocket_league,2026-01-28_16-37-34,225,True,True,True,,,,,True,True,../experiment/11/2026-01-28_17-03-17/rocket_league/2026-01-28_16-37-34_225ms,False,False,False,False,False,False,False,False,False,False,False,False,False
11,2026-01-28_17-03-17,rocket_league,2026-01-28_16-35-35,150,True,True,True,,,,,True,True,../experiment/11/2026-01-28_17-03-17/rocket_league/2026-01-28_16-35-35_150ms,False,False,False,False,False,False,False,False,False,False,False,False,False
11,2026-01-28_17-03-17,half_life_2,2026-01-28_16-52-58,225,True,True,True,,True,True,,,,../experiment/11/2026-01-28_17-03-17/half_life_2/2026-01-28_16-52-58_225ms,False,False,False,False,False,False,False,False,False,False,False,False,False
11,2026-01-28_17-03-17,half_life_2,2026-01-28_16-53-34,0,True,True,True,,True,True,,,,../experiment/11/2026-01-28_17-03-17/half_life_2/2026-01-28_16-53-34_0ms,False,False,False,False,False,False,False,False,False,False,False,False,False
11,2026-01-28_17-03-17,half_life_2,2026-01-28_16-52-21,150,True,True,True,,True,True,,,,../experiment/11/2026-01-28_17-03-17/half_life_2/2026-01-28_16-52-21_150ms,False,False,False,False,False,False,False,False,False,False,False,False,False
11,2026-01-28_17-03-17,half_life_2,2026-01-28_16-54-13,75,True,True,True,,True,True,,,,../experiment/11/2026-01-28_17-03-17/half_life_2/2026-01-28_16-54-13_75ms,False,False,False,False,False,False,False,False,False,False,False,False,False
11,2026-01-28_17-03-17,fitts_law,2026-01-28_16-57-36,75,True,True,True,,,,True,,,../experiment/11/2026-01-28_17-03-17/fitts_law/2026-01-28_16-57-36_75ms,False,False,False,False,False,False,False,False,False,False,False,False,False
11,2026-01-28_17-03-17,fitts_law,2026-01-28_16-56-57,0,True,True,True,,,,True,,,../experiment/11/2026-01-28_17-03-17/fitts_law/2026-01-28_16-56-57_0ms,False,False,False,False,False,False,False,False,False,False,False,False,False
