participant_id,game,latency_ms,score,mean_time_ms,median_time_ms,throughput,n_trials,goals,saves,assists,shots,quality_rating,acceptable,game_display,score_z,score_pct_of_baseline
12,dave_the_diver,150,3.1,,,,,,,,,3.0,1.0,Dave the Diver,0.7455225210141602,83.78378378378379
12,dave_the_diver,225,1.0,,,,,,,,,1.0,0.0,Dave the Diver,-1.0461692052378542,27.027027027027025
12,rocket_league,225,244.0,,,,,2.0,0.0,0.0,1.0,2.0,0.0,Rocket League,0.5776688535157595,66.12466124661248
12,rocket_league,0,126.0,,,,,1.0,0.0,0.0,1.0,4.0,1.0,Rocket League,-0.34108032321998055,34.146341463414636
12,rocket_league,75,369.0,,,,,3.0,0.0,0.0,2.0,5.0,1.0,Rocket League,1.550920100057857,100.0
12,rocket_league,150,30.0,,,,,0.0,0.0,0.0,0.0,5.0,1.0,Rocket League,-1.0885372805643114,8.130081300813007
12,half_life_2,225,11.0,,,,,,,,,1.0,0.0,Half-Life 2,-0.37170216850538224,64.70588235294117
12,half_life_2,0,17.0,,,,,,,,,3.0,1.0,Half-Life 2,1.4262990186834439,100.0
12,half_life_2,75,17.0,,,,,,,,,2.0,0.0,Half-Life 2,1.4262990186834439,100.0
12,half_life_2,150,14.0,,,,,,,,,2.0,0.0,Half-Life 2,0.5272984250890309,82.35294117647058
12,fitts_law,0,4.743735703217331,706.7928571428572,689.95,4.743735703217331,28.0,,,,,4.0,1.0,Fitts Law,1.1301089486161116,100.0
12,fitts_law,150,2.641485275639737,1291.5529411764708,1243.0,2.641485275639737,17.0,,,,,2.0,0.0,Fitts Law,-0.6486508137397367,55.683651891655984
12,fitts_law,225,2.022616880188419,1937.7181818181816,1854.5,2.022616880188419,11.0,,,,,1.0,0.0,Fitts Law,-1.1722888092810178,42.63763849273106
12,fitts_law,75,3.5887425634267163,1095.9777777777779,1081.25,3.5887425634267163,18.0,,,,,2.0,0.0,Fitts Law,0.15284415851024352,75.6522451491708
12,feeding_frenzy,150,150.0,,,,,,,,,1.0,0.0,Feeding Frenzy,-0.956092229456147,15.957446808510639
12,feeding_frenzy,75,940.0,,,,,,,,,2.0,1.0,Feeding Frenzy,1.2438481431759583,100.0
12,feeding_frenzy,0,700.0,,,,,,,,,3.0,1.0,Feeding Frenzy,0.5755118274396226,74.46808510638297
12,feeding_frenzy,225,130.0,,,,,,,,,1.0,0.0,Feeding Frenzy,-1.011786922434175,13.829787234042554
13,dave_the_diver,75,2.8,,,,,,,,,4.0,1.0,Dave the Diver,0.489566560121015,84.84848484848484
13,dave_the_diver,150,2.0,,,,,,,,,3.0,1.0,Dave the Diver,-0.19298266892737123,60.60606060606061
13,dave_the_diver,225,3.3,,,,,,,,,2.0,1.0,Dave the Diver,0.9161598282762565,100.0
13,dave_the_diver,0,2.9,,,,,,,,,5.0,1.0,Dave the Diver,0.5748852137520634,87.87878787878788
13,half_life_2,0,14.0,,,,,,,,,5.0,1.0,Half-Life 2,0.5272984250890309,100.0
13,half_life_2,75,13.0,,,,,,,,,4.0,1.0,Half-Life 2,0.22763156055755984,92.85714285714286
13,half_life_2,150,12.0,,,,,,,,,3.0,0.0,Half-Life 2,-0.07203530397391118,85.71428571428571
13,half_life_2,225,11.0,,,,,,,,,2.0,0.0,Half-Life 2,-0.37170216850538224,78.57142857142857
13,fitts_law,75,3.015668148140547,1088.8380952380953,1060.7,3.015668148140547,21.0,,,,,4.0,1.0,Fitts Law,-0.332046555447772,65.4467284027789
13,fitts_law,150,2.992176633961376,1653.4916666666666,1642.35,2.992176633961376,12.0,,,,,2.5,0.0,Fitts Law,-0.3519232359947566,64.93691012280594
13,fitts_law,225,2.3082298710587827,1707.1499999999999,1654.0,2.3082298710587827,12.0,,,,,1.0,0.0,Fitts Law,-0.9306254521938611,50.093739112346455
13,fitts_law,0,4.60782108095796,839.9576923076922,773.55,4.60782108095796,26.0,,,,,5.0,1.0,Fitts Law,1.0151086337062742,100.0
13,feeding_frenzy,225,150.0,,,,,,,,,2.5,0.0,Feeding Frenzy,-0.956092229456147,31.914893617021278
13,feeding_frenzy,150,470.0,,,,,,,,,4.0,1.0,Feeding Frenzy,-0.06497714180769926,100.0
13,feeding_frenzy,75,320.0,,,,,,,,,4.5,1.0,Feeding Frenzy,-0.4826873391429091,68.08510638297872
13,feeding_frenzy,0,470.0,,,,,,,,,5.0,1.0,Feeding Frenzy,-0.06497714180769926,100.0
14,dave_the_diver,150,2.1,,,,,,,,,5.0,1.0,Dave the Diver,-0.10766401529632286,100.0
14,dave_the_diver,225,1.0,,,,,,,,,3.0,1.0,Dave the Diver,-1.0461692052378542,47.61904761904761
14,dave_the_diver,75,0.2,,,,,,,,,5.0,1.0,Dave the Diver,-1.7287184342862405,9.523809523809524
14,dave_the_diver,0,2.0,,,,,,,,,5.0,1.0,Dave the Diver,-0.19298266892737123,95.23809523809523
14,rocket_league,225,170.0,,,,,1.0,0.0,0.0,1.0,2.0,0.0,Rocket League,0.0015041155628377468,57.82312925170068
14,rocket_league,150,62.0,,,,,0.0,0.0,0.0,0.0,4.0,1.0,Rocket League,-0.8393849614495345,21.08843537414966
14,rocket_league,75,186.0,,,,,1.0,0.0,0.0,1.0,5.0,1.0,Rocket League,0.12608027512022624,63.26530612244898
14,rocket_league,0,294.0,,,,,2.0,0.0,0.0,3.0,5.0,1.0,Rocket League,0.9669693521325985,100.0
14,half_life_2,75,12.0,,,,,,,,,3.0,1.0,Half-Life 2,-0.07203530397391118,66.66666666666666
14,half_life_2,225,12.0,,,,,,,,,1.0,0.0,Half-Life 2,-0.07203530397391118,66.66666666666666
14,half_life_2,150,11.0,,,,,,,,,2.0,0.0,Half-Life 2,-0.37170216850538224,61.111111111111114
14,half_life_2,0,18.0,,,,,,,,,5.0,1.0,Half-Life 2,1.725965883214915,100.0
14,fitts_law,0,4.8172413520697,823.1153846153846,743.4,4.8172413520697,26.0,,,,,5.0,1.0,Fitts Law,1.1923036751668932,100.0
14,fitts_law,75,3.2902565732899984,1124.7105263157894,1028.8,3.2902565732899984,19.0,,,,,3.0,0.0,Fitts Law,-0.09971132294775305,68.30167585181006
14,fitts_law,150,2.820619180709616,1274.5176470588235,1263.2,2.820619180709616,17.0,,,,,2.0,0.0,Fitts Law,-0.4970817246188299,58.55258174884166
14,fitts_law,225,2.295730887850039,1853.0166666666664,1757.45,2.295730887850039,12.0,,,,,1.0,0.0,Fitts Law,-0.9412011134521124,47.65654697503773
14,feeding_frenzy,0,820.0,,,,,,,,,5.0,1.0,Feeding Frenzy,0.9096799853077905,100.0
14,feeding_frenzy,75,480.0,,,,,,,,,5.0,1.0,Feeding Frenzy,-0.03712979531868527,58.536585365853654
14,feeding_frenzy,225,190.0,,,,,,,,,3.0,1.0,Feeding Frenzy,-0.8447028435000911,23.170731707317074
14,feeding_frenzy,150,490.0,,,,,,,,,4.0,1.0,Feeding Frenzy,-0.009282448829671278,59.756097560975604
15,dave_the_diver,75,3.9,,,,,,,,,5.0,1.0,Dave the Diver,1.4280717500625464,100.0
15,dave_the_diver,0,3.4,,,,,,,,,5.0,1.0,Dave the Diver,1.0014784819073048,87.17948717948718
15,dave_the_diver,150,2.8,,,,,,,,,5.0,1.0,Dave the Diver,0.489566560121015,71.7948717948718
15,dave_the_diver,225,1.6,,,,,,,,,3.0,1.0,Dave the Diver,-0.5342572834515643,41.02564102564103
15,rocket_league,75,168.0,,,,,1.0,0.0,0.0,3.0,4.0,1.0,Rocket League,-0.014067904381835812,100.0
15,rocket_league,0,70.0,,,,,0.0,0.0,0.0,0.0,3.0,0.0,Rocket League,-0.7770968816708402,41.66666666666667
15,rocket_league,150,46.0,,,,,0.0,0.0,0.0,0.0,1.0,0.0,Rocket League,-0.963961121006923,27.380952380952383
15,rocket_league,225,30.0,,,,,0.0,0.0,0.0,0.0,2.0,0.0,Rocket League,-1.0885372805643114,17.857142857142858
15,half_life_2,225,9.0,,,,,,,,,1.0,0.0,Half-Life 2,-0.9710358975683243,56.25
15,half_life_2,150,13.0,,,,,,,,,1.0,0.0,Half-Life 2,0.22763156055755984,81.25
15,half_life_2,0,13.0,,,,,,,,,5.0,1.0,Half-Life 2,0.22763156055755984,81.25
15,half_life_2,75,16.0,,,,,,,,,5.0,1.0,Half-Life 2,1.126632154151973,100.0
15,fitts_law,0,4.384857435265253,828.6538461538462,783.45,4.384857435265253,26.0,,,,,5.0,1.0,Fitts Law,0.826454248755881,100.0
15,fitts_law,150,2.4700801052828143,1933.5699999999997,1863.1,2.4700801052828143,10.0,,,,,1.0,0.0,Fitts Law,-0.7936804524978386,56.33205051131592
15,fitts_law,75,3.630749276546437,1134.0611111111111,1098.75,3.630749276546437,18.0,,,,,2.0,0.0,Fitts Law,0.1883869511604436,82.80199140218573
15,fitts_law,225,2.018228918025519,2002.0,1930.75,2.018228918025519,10.0,,,,,1.0,0.0,Fitts Law,-1.176001559404275,46.02724142851021
15,feeding_frenzy,0,760.0,,,,,,,,,5.0,1.0,Feeding Frenzy,0.7425959063737065,100.0
