participant_id,game,latency_ms,score,mean_time_ms,median_time_ms,throughput,n_trials,goals,saves,assists,shots
14,rocket_league,0,294.0,,,,,2.0,0.0,0.0,3.0
14,half_life_2,75,12.0,,,,,,,,
14,half_life_2,225,12.0,,,,,,,,
14,half_life_2,150,11.0,,,,,,,,
14,half_life_2,0,18.0,,,,,,,,
14,fitts_law,0,4.8172413520697,823.1153846153846,743.4,4.8172413520697,26.0,,,,
14,fitts_law,75,3.2902565732899984,1124.7105263157894,1028.8,3.2902565732899984,19.0,,,,
14,fitts_law,150,2.820619180709616,1274.5176470588235,1263.2,2.820619180709616,17.0,,,,
14,fitts_law,225,2.295730887850039,1853.0166666666664,1757.45,2.295730887850039,12.0,,,,
14,feeding_frenzy,0,820.0,,,,,,,,
14,feeding_frenzy,75,480.0,,,,,,,,
14,feeding_frenzy,225,190.0,,,,,,,,
14,feeding_frenzy,150,490.0,,,,,,,,
15,dave_the_diver,75,3.9,,,,,,,,
15,dave_the_diver,0,3.4,,,,,,,,
15,dave_the_diver,150,2.8,,,,,,,,
15,dave_the_diver,225,1.6,,,,,,,,
15,rocket_league,75,168.0,,,,,1.0,0.0,0.0,3.0
15,rocket_league,0,70.0,,,,,0.0,0.0,0.0,0.0
15,rocket_league,150,46.0,,,,,0.0,0.0,0.0,0.0
15,rocket_league,225,30.0,,,,,0.0,0.0,0.0,0.0
15,half_life_2,225,9.0,,,,,,,,
15,half_life_2,150,13.0,,,,,,,,
15,half_life_2,0,13.0,,,,,,,,
15,half_life_2,75,16.0,,,,,,,,
15,fitts_law,0,4.384857435265253,828.6538461538462,783.45,4.384857435265253,26.0,,,,
15,fitts_law,150,2.4700801052828143,1933.5699999999997,1863.1,2.4700801052828143,10.0,,,,
15,fitts_law,75,3.630749276546437,1134.0611111111111,1098.75,3.630749276546437,18.0,,,,
15,fitts_law,225,2.018228918025519,2002.0,1930.75,2.018228918025519,10.0,,,,
15,feeding_frenzy,0,760.0,,,,,,,,
15,feeding_frenzy,225,190.0,,,,,,,,
15,feeding_frenzy,75,310.0,,,,,,,,
15,feeding_frenzy,150,430.0,,,,,,,,
16,dave_the_diver,75,3.2,,,,,,,,
16,dave_the_diver,225,2.0,,,,,,,,
16,dave_the_diver,150,3.0,,,,,,,,
16,dave_the_diver,0,3.5,,,,,,,,
16,rocket_league,225,42.0,,,,,0.0,0.0,0.0,1.0
16,rocket_league,75,28.0,,,,,0.0,0.0,0.0,1.0
16,rocket_league,0,16.0,,,,,0.0,0.0,0.0,0.0
16,rocket_league,150,0.0,,,,,0.0,0.0,0.0,0.0
16,half_life_2,225,12.0,,,,,,,,
16,half_life_2,0,14.0,,,,,,,,
16,half_life_2,75,14.0,,,,,,,,
16,half_life_2,150,13.0,,,,,,,,
16,fitts_law,225,2.257830383873025,1704.9583333333333,1781.15,2.257830383873025,12.0,,,,
16,fitts_law,75,3.8801288534281007,1055.7600000000002,1046.6,3.8801288534281007,20.0,,,,
16,fitts_law,0,4.979365767642845,735.3925925925926,747.1,4.979365767642845,27.0,,,,
16,fitts_law,150,2.8368741442642,1079.609523809524,1057.4,2.8368741442642,21.0,,,,
16,feeding_frenzy,75,300.0,,,,,,,,
16,feeding_frenzy,225,120.0,,,,,,,,
16,feeding_frenzy,150,200.0,,,,,,,,
16,feeding_frenzy,0,400.0,,,,,,,,
17,dave_the_diver,0,1.5,,,,,,,,
17,dave_the_diver,75,3.4,,,,,,,,
17,dave_the_diver,150,1.3,,,,,,,,
17,dave_the_diver,225,3.4,,,,,,,,
17,rocket_league,0,280.0,,,,,2.0,0.0,0.0,3.0
17,rocket_league,150,244.0,,,,,2.0,0.0,0.0,3.0
17,rocket_league,225,284.0,,,,,2.0,0.0,0.0,3.0
17,rocket_league,75,280.0,,,,,2.0,0.0,0.0,3.0
17,half_life_2,150,12.0,,,,,,,,
17,half_life_2,0,13.0,,,,,,,,
17,half_life_2,225,12.0,,,,,,,,
17,half_life_2,75,15.0,,,,,,,,
17,fitts_law,75,4.325126235810734,961.6473684210526,950.2,4.325126235810734,19.0,,,,
17,fitts_law,150,3.054078615156607,1307.0533333333333,1089.8,3.054078615156607,15.0,,,,
17,fitts_law,225,2.4596792095358353,1628.8538461538462,1426.5,2.4596792095358353,13.0,,,,
17,fitts_law,0,5.993373774892708,731.8333333333333,692.55,5.993373774892708,30.0,,,,
17,feeding_frenzy,225,200.0,,,,,,,,
17,feeding_frenzy,150,500.0,,,,,,,,
17,feeding_frenzy,0,1230.0,,,,,,,,
17,feeding_frenzy,75,1150.0,,,,,,,,
18,dave_the_diver,225,3.9,,,,,,,,
18,dave_the_diver,150,2.9,,,,,,,,
18,dave_the_diver,75,1.8,,,,,,,,
18,dave_the_diver,0,2.5,,,,,,,,
18,half_life_2,225,13.0,,,,,,,,
18,half_life_2,150,12.0,,,,,,,,
18,half_life_2,0,17.0,,,,,,,,
18,half_life_2,75,15.0,,,,,,,,
18,fitts_law,0,5.607079639118506,717.0103448275862,671.3,5.607079639118506,29.0,,,,
18,fitts_law,75,3.7455113562047577,1240.0352941176473,1217.4,3.7455113562047577,17.0,,,,
18,fitts_law,225,2.617458910786192,1817.4333333333334,1597.1,2.617458910786192,12.0,,,,
18,fitts_law,150,3.3956506119796166,1217.0,1104.6,3.3956506119796166,17.0,,,,
18,feeding_frenzy,150,390.0,,,,,,,,
18,feeding_frenzy,75,450.0,,,,,,,,
18,feeding_frenzy,0,970.0,,,,,,,,
18,feeding_frenzy,225,240.0,,,,,,,,
19,dave_the_diver,150,0.0,,,,,,,,
19,dave_the_diver,225,0.0,,,,,,,,
19,dave_the_diver,75,0.4,,,,,,,,
19,dave_the_diver,0,1.5,,,,,,,,
19,rocket_league,225,387.0,,,,,3.0,0.0,0.0,4.0
19,rocket_league,150,152.0,,,,,1.0,0.0,0.0,1.0
19,rocket_league,75,290.0,,,,,2.0,0.0,0.0,4.0
19,rocket_league,0,68.0,,,,,0.0,0.0,0.0,1.0
19,half_life_2,150,6.0,,,,,,,,
19,half_life_2,225,7.0,,,,,,,,
19,half_life_2,0,13.0,,,,,,,,
19,half_life_2,75,9.0,,,,,,,,
19,fitts_law,75,3.306346105162119,927.4954545454547,947.45,3.306346105162119,22.0,,,,
19,fitts_law,225,2.355270038653483,2077.0444444444447,1918.7,2.355270038653483,9.0,,,,
19,fitts_law,0,4.969305011286665,770.625925925926,714.4,4.969305011286665,27.0,,,,
19,fitts_law,150,2.1570548569731707,1472.857142857143,1315.8000000000002,2.1570548569731707,14.0,,,,
19,feeding_frenzy,75,780.0,,,,,,,,
19,feeding_frenzy,225,180.0,,,,,,,,
19,feeding_frenzy,0,640.0,,,,,,,,
19,feeding_frenzy,150,1600.0,,,,,,,,
2,rocket_league,150,431.0,,,,,3.0,0.0,0.0,3.0
2,rocket_league,75,284.0,,,,,2.0,0.0,0.0,3.0
2,rocket_league,225,140.0,,,,,1.0,0.0,0.0,0.0
2,rocket_league,0,527.0,,,,,4.0,0.0,0.0,5.0
2,half_life_2,75,16.0,,,,,,,,
2,half_life_2,150,15.0,,,,,,,,
2,half_life_2,0,17.0,,,,,,,,
2,half_life_2,225,16.0,,,,,,,,
2,fitts_law,75,4.3058032144758025,844.4125,825.85,4.3058032144758025,24.0,,,,
2,fitts_law,0,5.684199981050071,587.6473684210526,514.9,5.684199981050071,38.0,,,,
2,fitts_law,150,3.314968400473291,1126.5105263157893,1102.4,3.314968400473291,19.0,,,,
2,fitts_law,225,2.80948021857994,1609.7,1664.65,2.80948021857994,12.0,,,,
2,feeding_frenzy,75,800.0,,,,,,,,
2,feeding_frenzy,225,320.0,,,,,,,,
2,feeding_frenzy,0,1160.0,,,,,,,,
2,feeding_frenzy,150,310.0,,,,,,,,
20,dave_the_diver,225,0.0,,,,,,,,
20,dave_the_diver,75,3.9,,,,,,,,
20,dave_the_diver,150,2.2,,,,,,,,
20,dave_the_diver,0,3.9,,,,,,,,
20,rocket_league,150,152.0,,,,,1.0,0.0,0.0,0.0
